filename,title,component_name
icon_add_circle_fill.svg,unfollow,AddCircleFillIcon
icon_add_circle.svg,follow,AddCircleIcon
icon_add.svg,add,AddIcon
icon_alert_circle.svg,alert,AlertIcon
icon_arrow_down_circle.svg,reveal more,ArrowDownCircleIcon
icon_arrow_down.svg,reveal more,ArrowDownIcon
icon_arrow_left_circle.svg,navigate left,ArrowLeftCircleIcon
icon_arrow_left.svg,navigate left,ArrowLeftIcon
icon_arrow_right_circle.svg,navigate right,ArrowRightCircleIcon
icon_arrow_right.svg,navigate right,ArrowRightIcon
icon_arrow_up_circle.svg,reveal less,ArrowUpCircleIcon
icon_arrow_up.svg,reveal less,ArrowUpIcon
icon_artwork.svg,artwork,ArtworkIcon
icon_auction.svg,auction,AuctionIcon
icon_bell_fill.svg,unwatch lot,BellFillIcon
icon_bell.svg,watch lot,BellIcon
icon_blue_chip.svg,blue chip status,BlueChipIcon
icon_check_circle_fill.svg,uncheck,CheckCircleFillIcon
icon_check_circle.svg,check,CheckCircleIcon
icon_collapse.svg,collapse,CollapseIcon
icon_credit_card.svg,credit card,CreditCardIcon
icon_document.svg,View orders,DocumentIcon
icon_download.svg,download,DownloadIcon
icon_edit.svg,edit,EditIcon
icon_email.svg,send email,EnvelopeIcon
icon_enter.svg,select,EnterIcon
icon_established.svg,established,EstablishedIcon
icon_expand.svg,expand,ExpandIcon
icon_eye_close.svg,hide,EyeClosedIcon
icon_eye.svg,view,EyeOpenedIcon
icon_facebook.svg,facebook,FacebookIcon
icon_fair.svg,fair,FairIcon
icon_filter.svg,filter,FilterIcon
icon_genome.svg,genome,GenomeIcon
icon_graph.svg,View dashboard,GraphIcon
icon_heart_fill.svg,Unsave,HeartFillIcon
icon_heart.svg,Save,HeartIcon
icon_help_circle.svg,Help,QuestionCircleIcon
icon_home.svg,Home,HomeIcon
icon_info_circle.svg,More Info,InfoCircleIcon
icon_instagram.svg,Instagram,InstagramIcon
icon_institution.svg,Instituion,InstitutionIcon
icon_loader.svg,Loading,LoaderIcon
icon_lock.svg,Locked,LockIcon
icon_logout.svg,Account logout,LogoutIcon
icon_map_pin.svg,location,MapPinIcon
icon_menu.svg,menu,MenuIcon
icon_message.svg,send message,MessageIcon
icon_more.svg,view more,MoreIcon
icon_publication.svg,publication,PublicationIcon
icon_reload.svg,refresh,ReloadIcon
icon_search.svg,search,MagnifyingGlassIcon
icon_settings.svg,settings,SettingsIcon
icon_share.svg,share,ShareIcon
icon_timer.svg,time remaining,TimerIcon
icon_top_emerging.svg,top emerging,TopEmergingIcon
icon_trash.svg,trash,TrashIcon
icon_twitter.svg,twitter,TwitterIcon
icon_user_multiple.svg,group,UserMultiIcon
icon_user.svg,user,UserSingleIcon
icon_x_circle.svg,close,CloseCircleIcon
icon_x.svg,close,CloseIcon
